itemName,year,avgPrice
Christian Brothers Frost White,2017,12.0
Christian Brothers Frost White,2016,12.0
Christian Brothers Frost White,2012,12.0
Christian Brothers Frost White,2013,12.0
Christian Brothers Frost White,2014,12.0
Siete Lequas Blanco Tequila,2020,7.875
Cedar Ridge Private Cask Iowa Bourbon Selection 92prf,2020,189.0
Cedar Ridge Private Cask Iowa Bourbon Selection 92prf,2019,209.57142857142858
Cedar Ridge Private Cask Iowa Bourbon Selection 92prf,2018,231.0
Koloa Hawaiian Pineapple Passion Rum Cocktail,2017,17.599999999999998
Koloa Hawaiian Pineapple Passion Rum Cocktail,2016,15.0
Koloa Hawaiian Pineapple Passion Rum Cocktail,2018,12.0
Koloa Hawaiian Pineapple Passion Rum Cocktail,2020,12.0
Monkey Shoulder,2020,3.944652908067542
Monkey Shoulder,2017,3.878369272237197
Monkey Shoulder,2018,3.646817248459959
Monkey Shoulder,2016,3.6341463414634148
Monkey Shoulder,2019,3.9799408783783785
Remy Martin VSOP w/1738 50ml,2014,12.029629629629628
Remy Martin VSOP w/1738 50ml,2015,14.553846153846154
360 Mandarin Orange Vodka Mini,2012,1.25
Deep Eddy Lemon,2020,7.1318321785989225
Deep Eddy Lemon,2016,4.502377179080824
Deep Eddy Lemon,2017,5.697608200455581
Deep Eddy Lemon,2018,5.606923076923077
Deep Eddy Lemon,2019,6.200574712643678
